# t ax ay az mx my mz
0.568000 16.320007 -12.023505 -12.023505 37.680008 21.040594 -2.840000
0.570000 16.800003 -11.852326 -11.852326 38.199997 20.938200 -2.850000
0.572000 17.279999 -11.676933 -11.676933 38.720001 20.834610 -2.860000
0.574000 17.759995 -11.497396 -11.497396 39.240005 20.729839 -2.870000
0.576000 18.239990 -11.313773 -11.313773 39.759995 20.623894 -2.880000
0.578000 18.720001 -11.126126 -11.126126 40.279999 20.516769 -2.890000
0.580000 19.199997 -10.934531 -10.934531 40.800003 20.408482 -2.900000
0.582000 19.680008 -10.739045 -10.739045 41.320007 20.299030 -2.910000
0.584000 20.160004 -10.539750 -10.539750 41.839996 20.188429 -2.920000
0.586000 20.639999 -10.336704 -10.336704 42.360001 20.076675 -2.930000
0.588000 21.119995 -10.129992 -10.129992 42.880005 19.963785 -2.940000
0.590000 21.599991 -9.919680 -9.919680 43.399994 19.849758 -2.950000
0.592000 22.080002 -9.705837 -9.705837 43.919998 19.734604 -2.960000
0.594000 22.559998 -9.488552 -9.488552 44.440002 19.618328 -2.970000
0.596000 23.040009 -9.267891 -9.267891 44.960007 19.500933 -2.980000
0.598000 23.520004 -9.043942 -9.043942 45.479996 19.382433 -2.990000
0.600000 24.000000 -8.816774 -8.816774 46.000000 19.262829 -3.000000
0.602000 24.479996 -8.586479 -8.586479 46.520004 19.142132 -3.010000
0.604000 24.959991 -8.353140 -8.353140 47.039993 19.020346 -3.020000
0.606000 25.440002 -8.116820 -8.116820 47.559998 18.897476 -3.030000
0.608000 25.919998 -7.877624 -7.877624 48.080002 18.773539 -3.040000
0.610000 26.400009 -7.635622 -7.635622 48.600006 18.648527 -3.050000
0.612000 26.880005 -7.390913 -7.390913 49.119995 18.522459 -3.060000
0.614000 27.360001 -7.143572 -7.143572 49.639999 18.395334 -3.070000
0.616000 27.839996 -6.893700 -6.893700 50.160004 18.267168 -3.080000
0.618000 28.319992 -6.641377 -6.641377 50.679993 18.137962 -3.090000
0.620000 28.800003 -6.386689 -6.386689 51.199997 18.007723 -3.100000
0.622000 29.279999 -6.129738 -6.129738 51.720001 17.876463 -3.110000
0.624000 29.760010 -5.870604 -5.870604 52.240005 17.744186 -3.120000
0.626000 30.239990 -5.609389 -5.609389 52.759995 17.610901 -3.130000
0.628000 30.720001 -5.346175 -5.346175 53.279999 17.476610 -3.140000
0.630000 31.199997 -5.081068 -5.081068 53.800003 17.341331 -3.150000
0.632000 31.680008 -4.814149 -4.814149 54.320007 17.205063 -3.160000
0.634000 32.160004 -4.545527 -4.545527 54.839996 17.067818 -3.170000
0.636000 32.639999 -4.275290 -4.275290 55.360001 16.929604 -3.180000
0.638000 33.119995 -4.003526 -4.003526 55.880005 16.790424 -3.190000
0.640000 33.599991 -3.730347 -3.730347 56.399994 16.650299 -3.200000
0.642000 34.080002 -3.455836 -3.455836 56.919998 16.509216 -3.210000
0.644000 34.559998 -3.180111 -3.180111 57.440002 16.367201 -3.220000
0.646000 35.040009 -2.903235 -2.903235 57.960007 16.224251 -3.230000
0.648000 35.520004 -2.625349 -2.625349 58.479996 16.080381 -3.240000
0.650000 36.000000 -2.346523 -2.346523 59.000000 15.935598 -3.250000
0.652000 36.479996 -2.066855 -2.066855 59.520004 15.789906 -3.260000
0.654000 36.959991 -1.786461 -1.786461 60.039993 15.643319 -3.270000
0.656000 37.440002 -1.505425 -1.505425 60.559998 15.495844 -3.280000
0.658000 37.919998 -1.223861 -1.223861 61.080002 15.347488 -3.290000
0.660000 38.400009 -0.941856 -0.941856 61.600006 15.198255 -3.300000
0.662000 38.880005 -0.659522 -0.659522 62.119995 15.048162 -3.310000
0.664000 39.360001 -0.376955 -0.376955 62.639999 14.897214 -3.320000
0.666000 39.839996 -0.094246 -0.094246 63.160004 14.745413 -3.330000
0.668000 40.319992 0.188489 0.188489 63.679993 14.592780 -3.340000
0.670000 40.800003 0.471164 0.471164 64.199997 14.439312 -3.350000
0.672000 41.279999 0.753665 0.753665 64.720001 14.285034 -3.360000
0.674000 41.760010 1.035905 1.035905 65.240005 14.129932 -3.370000
0.676000 42.240005 1.317770 1.317770 65.759995 13.974033 -3.380000
0.678000 42.720001 1.599166 1.599166 66.279999 13.817340 -3.390000
0.680000 43.199997 1.880002 1.880002 66.800003 13.659856 -3.400000
0.682000 43.679993 2.160162 2.160162 67.319992 13.501599 -3.410000
0.684000 44.160004 2.439563 2.439563 67.839996 13.342573 -3.420000
0.686000 44.639999 2.718082 2.718082 68.360001 13.182791 -3.430000
0.688000 45.120010 2.995656 2.995656 68.880005 13.022259 -3.440000
0.690000 45.600006 3.272146 3.272146 69.399994 12.860988 -3.450000
0.692000 46.079987 3.547479 3.547479 69.919998 12.698986 -3.460000
0.694000 46.559998 3.821559 3.821559 70.440002 12.536256 -3.470000
0.696000 47.039993 4.094275 4.094275 70.959991 12.372819 -3.480000
0.698000 47.520004 4.365543 4.365543 71.480011 12.208673 -3.490000
0.700000 48.000000 4.635252 4.635252 72.000000 12.043839 -3.500000
0.702000 48.480011 4.903322 4.903322 72.520004 11.878315 -3.510000
0.704000 48.959991 5.169643 5.169643 73.039993 11.712126 -3.520000
0.706000 49.439987 5.434127 5.434127 73.559998 11.545265 -3.530000
0.708000 49.919998 5.696687 5.696687 74.080002 11.377744 -3.540000
0.710000 50.399994 5.957217 5.957217 74.599991 11.209580 -3.550000
0.712000 50.880005 6.215636 6.215636 75.120010 11.040774 -3.560000
0.714000 51.360001 6.471840 6.471840 75.639999 10.871346 -3.570000
0.716000 51.840012 6.725752 6.725752 76.160004 10.701295 -3.580000
0.718000 52.319992 6.977267 6.977267 76.679993 10.530641 -3.590000
0.720000 52.800003 7.226310 7.226310 77.200012 10.359387 -3.600000
0.722000 53.279999 7.472779 7.472779 77.720001 10.187546 -3.610000
0.724000 53.759995 7.716593 7.716593 78.239990 10.015124 -3.620000
0.726000 54.240005 7.957672 7.957672 78.760010 9.842128 -3.630000
0.728000 54.720001 8.195910 8.195910 79.279999 9.668577 -3.640000
